word_index,emoji,unicode_codepoint
369,⏻,U+23FB
370,⏼,U+23FC
371,⏽,U+23FD
372,⏾,U+23FE
373,⏿,U+23FF
374,─,U+2500
375,━,U+2501
376,│,U+2502
377,┃,U+2503
378,┄,U+2504
379,┅,U+2505
380,┆,U+2506
381,┇,U+2507
382,┈,U+2508
383,┉,U+2509
384,┊,U+250A
385,┋,U+250B
386,┌,U+250C
387,┍,U+250D
388,┎,U+250E
389,┏,U+250F
390,┐,U+2510
391,┑,U+2511
392,┒,U+2512
393,┓,U+2513
394,└,U+2514
395,┕,U+2515
396,┖,U+2516
397,┗,U+2517
398,┘,U+2518
399,┙,U+2519
400,┚,U+251A
401,┛,U+251B
402,├,U+251C
403,┝,U+251D
404,┞,U+251E
405,┟,U+251F
406,┠,U+2520
407,┡,U+2521
408,┢,U+2522
409,┣,U+2523
410,┤,U+2524
411,┥,U+2525
412,┦,U+2526
413,┧,U+2527
414,┨,U+2528
415,┩,U+2529
416,┪,U+252A
417,┫,U+252B
418,┬,U+252C
419,┭,U+252D
420,┮,U+252E
421,┯,U+252F
422,┰,U+2530
423,┱,U+2531
424,┲,U+2532
425,┳,U+2533
426,┴,U+2534
427,┵,U+2535
428,┶,U+2536
429,┷,U+2537
430,┸,U+2538
431,┹,U+2539
432,┺,U+253A
433,┻,U+253B
434,┼,U+253C
435,┽,U+253D
436,┾,U+253E
437,┿,U+253F
438,╀,U+2540
439,╁,U+2541
440,╂,U+2542
441,╃,U+2543
442,╄,U+2544
443,╅,U+2545
444,╆,U+2546
445,╇,U+2547
446,╈,U+2548
447,╉,U+2549
448,╊,U+254A
449,╋,U+254B
450,╌,U+254C
451,╍,U+254D
452,╎,U+254E
453,╏,U+254F
454,═,U+2550
455,║,U+2551
456,╒,U+2552
457,╓,U+2553
458,╔,U+2554
459,╕,U+2555
460,╖,U+2556
461,╗,U+2557
462,╘,U+2558
463,╙,U+2559
464,╚,U+255A
465,╛,U+255B
466,╜,U+255C
467,╝,U+255D
468,╞,U+255E
469,╟,U+255F
470,╠,U+2560
471,╡,U+2561
472,╢,U+2562
473,╣,U+2563
474,╤,U+2564
475,╥,U+2565
476,╦,U+2566
477,╧,U+2567
478,╨,U+2568
479,╩,U+2569
480,╪,U+256A
481,╫,U+256B
482,╬,U+256C
483,╭,U+256D
484,╮,U+256E
485,╯,U+256F
486,╰,U+2570
487,╱,U+2571
488,╲,U+2572
489,╳,U+2573
